LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1752784449.701897,335015.000,52349,1,T1,1,100,32.464
1752784449.835898,335149.000,52372,1,T1,1,100,32.484
1752784449.968900,335282.000,52390,1,T1,1,100,32.387
1752784450.101901,335415.000,52409,1,T1,1,100,32.416
1752784450.235902,335549.000,52426,1,T1,1,100,32.428
1752784450.368903,335682.000,52457,1,T1,1,100,32.433
1752784450.502904,335816.000,52475,1,T1,1,100,32.365
1752784450.635905,335949.000,52491,1,T1,1,100,32.406
1752784450.768907,336082.000,52525,1,T1,1,100,32.318
1752784450.901908,336215.000,52542,1,T1,1,100,32.350
1752784451.035909,336349.000,52560,1,T1,1,100,32.435
1752784451.168910,336482.000,52592,1,T1,1,100,32.366
1752784451.301911,336615.000,52611,1,T1,1,100,32.406
1752784451.435912,336749.000,52629,1,T1,1,100,32.389
1752784451.568914,336882.000,52663,1,T1,1,100,32.487
1752784451.701915,337015.000,52680,1,T1,1,100,32.459
1752784451.835916,337149.000,52699,1,T1,1,100,32.482
1752784451.968917,337282.000,52732,1,T1,1,100,32.386
1752784452.101918,337415.000,52749,1,T1,1,100,32.344
1752784452.235919,337549.000,52766,1,T1,1,100,32.397
1752784452.368921,337682.000,52788,1,T1,1,100,32.456
1752784452.501922,337815.000,52809,1,T1,1,100,32.445
1752784452.635923,337949.000,52840,1,T1,1,100,32.441
1752784452.768924,338082.000,52857,1,T1,1,100,32.510
1752784452.901925,338215.000,52874,1,T1,1,100,32.433
1752784453.034926,338348.000,52907,1,T1,1,100,32.471
1752784453.168928,338482.000,52925,1,T1,1,100,32.558
1752784453.301929,338615.000,52941,1,T1,1,100,32.490
1752784453.434930,338748.000,52975,1,T1,1,100,32.460
1752784453.568931,338882.000,52992,1,T1,1,100,32.518
1752784453.701932,339015.000,53010,1,T1,1,100,32.472
1752784453.834933,339148.000,53042,1,T1,1,100,32.524
1752784453.968935,339282.000,53059,1,T1,1,100,32.475
1752784454.101936,339415.000,53077,1,T1,1,100,32.383
1752784454.234937,339548.000,53095,1,T1,1,100,32.414
1752784454.368938,339682.000,53130,1,T1,1,100,32.463
1752784454.501939,339815.000,53147,1,T1,1,100,32.484
1752784454.634941,339948.000,53164,1,T1,1,100,32.493
1752784454.768942,340082.000,53196,1,T1,1,100,32.462
